type1,cost1,size1,space1,station1,price1
van,4,3,0.7,0.1,4.1753448
regcar,4,3,0.7,0,3.3109468
regcar,6,2,1,0.1,4.0395745
regcar,8,2,1,0,7.0659681
regcar,6,1,0.7,0.3,5.7941569
truck,6,3,1,0.1,3.5329841
regcar,8,2,1,0,1.9270822
regcar,1,3,1,0,6.0700691
sportuv,4,3,0.7,0,3.0674666
regcar,2,2,1,0,3.8017382
regcar,2,3,1,0,4.1386835
truck,2,3,1,0,3.323736
sportcar,8,0,1,0,5.4600663
regcar,1,2,0.7,0,1.2847215
regcar,1,1,1,0,4.690508
truck,8,3,1,0,1.9313856
regcar,8,3,1,0,8.4371306
regcar,8,3,0.7,0,1.0224889
van,1,3,1,0,3.3109468
regcar,4,3,0.7,0,3.3109468
regcar,4,2,0.7,0,5.9556216
sportuv,1,3,1,0,4.8568222
regcar,1,3,0.7,0,4.690508
regcar,1,0,0.7,0,4.690508
truck,8,3,1,0,7.0659681
regcar,4,1,1,0,4.1386835
regcar,4,3,0.7,0,3.3927834
truck,2,3,0.7,0.3,0.96354111
regcar,2,3,1,0,6.6218936
truck,4,3,1,0,3.9704144
regcar,4,3,1,0,7.0659681
regcar,2,2,0.7,0,3.7871011
regcar,8,2,0.7,0,4.0359651
regcar,2,2,1,0,4.8177056
regcar,4,3,0.7,0.1,2.8118444
sportuv,1,2,0.7,0,5.554415
regcar,8,3,0.7,0,4.0359651
regcar,2,2,1,0.1,1.9270822
regcar,2,3,1,0.1,4.8177056
truck,1,1,0.7,0,7.7083289
regcar,4,3,0.7,0,3.0296809
truck,4,2,1,0.3,1.3795612
regcar,8,3,0.7,0.7,4.1753448
regcar,1,2,1,0,3.5346277
regcar,1,2,0.7,0,3.5787111
regcar,8,0,1,0,3.0674666
regcar,6,3,1,0.1,2.8906233
regcar,8,3,1,0.3,4.0899555
regcar,8,3,1,0,4.3455777
regcar,2,1,1,0,2.9778108
regcar,4,2,0.7,0,3.9704144
regcar,4,3,0.7,0,5.554415
regcar,4,1,0.7,0,4.2920479
regcar,8,3,1,0,3.8541644
sportcar,2,2,0.7,0.3,3.7871011
regcar,8,3,1,0,8.4371306
van,1,3,0.7,0,1.2781111
van,2,2,0.7,0.3,3.3230888
regcar,8,2,0.7,0,3.8627713
van,4,3,0.7,0,2.5247341
regcar,4,3,1,0,1.9852072
regcar,8,1,0.7,0,1.1036489
truck,8,3,0.7,0,4.1386835
regcar,2,2,1,0.1,4.690508
truck,1,2,1,0,4.4965252
regcar,2,3,0.7,0,4.690508
van,8,3,1,0,6.6218936
regcar,8,3,0.7,0,3.7871011
sportuv,1,3,0.7,0,4.2920479
regcar,2,2,0.7,0,5.2230137
regcar,2,3,1,0,5.554415
regcar,2,3,0.7,0,5.3671598
sportuv,8,3,0.7,0.7,3.7919343
truck,2,3,0.7,0,3.8343333
truck,4,2,1,0.3,3.0350346
regcar,2,3,1,0,4.4965252
sportcar,1,0,0.7,0,5.9352428
regcar,4,3,1,0,10.91864
van,1,2,0.7,0,6.0593618
regcar,8,3,0.7,0,3.0296809
regcar,8,2,0.7,0,3.5787111
truck,4,3,0.7,0,3.8541644
regcar,4,3,1,0,6.0700691
regcar,2,3,1,0,5.4600663
truck,6,2,0.7,0.3,3.0350346
truck,8,3,0.7,0.7,8.0791491
truck,4,2,1,0,5.554415
regcar,8,3,0.7,0,5.4600663
van,6,3,1,0.1,4.8177056
van,4,2,1,0.3,5.2423324
van,8,2,0.7,0.7,5.4604234
regcar,8,3,1,0,5.2423324
sportuv,2,3,1,0,1.9313856
regcar,2,3,1,0,4.8177056
truck,8,3,1,0.3,1.9313856
regcar,4,3,0.7,0,4.690508
regcar,2,3,0.7,0,3.7871011
regcar,6,2,0.7,0.3,3.7871011
regcar,2,3,0.7,0,3.0674666
regcar,8,3,0.7,0,4.4965252
regcar,8,3,1,0,1.1181583
regcar,1,2,1,0,4.4965252
regcar,8,3,0.7,0.7,6.3864157
regcar,2,1,0.7,0,4.4965252
regcar,8,3,0.7,0,3.5346277
regcar,4,3,0.7,0,4.8177056
regcar,8,2,1,0,6.6218936
regcar,1,3,0.7,0,7.7083289
regcar,2,3,1,0.1,3.586859
regcar,1,3,0.7,0,6.9851422
regcar,4,2,1,0,5.6978331
regcar,6,3,1,0.1,3.7871011
truck,1,3,1,0,3.9704144
regcar,2,3,0.7,0,6.102427
sportuv,4,2,0.7,0.7,5.4600663
sportuv,4,1,1,0.3,4.1753448
regcar,2,2,0.7,0,1.7673139
sportuv,2,3,1,0,6.6218936
sportuv,2,3,1,0,4.2920479
regcar,8,2,0.7,0,3.9704144
van,1,3,1,0,3.2118037
regcar,6,3,0.7,0.3,3.3230888
regcar,2,2,0.7,0,4.1386835
regcar,4,2,1,0,3.2118037
regcar,6,3,1,0.1,4.1386835
truck,2,3,0.7,0,1.6554734
regcar,8,3,0.7,0,8.9467777
regcar,1,2,0.7,0,5.4600663
regcar,1,3,0.7,0,3.3109468
regcar,4,3,0.7,0.1,5.1388859
truck,8,2,1,0.3,1.3795612
regcar,1,3,1,0,4.8177056
regcar,2,2,1,0.1,2.7772075
regcar,8,3,1,0.3,4.2490015
regcar,2,3,1,0,0.96354111
regcar,8,3,0.7,0,3.0674666
truck,6,2,0.7,0.3,1.6554734
regcar,4,3,1,0.3,4.8177056
truck,2,2,0.7,0,4.8568222
regcar,4,3,0.7,0,6.9851422
regcar,1,3,0.7,0,7.8271081
regcar,2,3,0.7,0,3.5346277
regcar,2,1,1,0.7,7.444527
regcar,1,3,1,0,6.6474719
regcar,1,2,0.7,0,2.9778108
stwagon,8,2,1,0,2.8118444
regcar,8,3,1,0,1.2847215
van,2,3,1,0,3.5329841
regcar,2,3,0.7,0.3,3.5611457
sportuv,8,2,0.7,0,2.569443
regcar,4,1,0.7,0,4.690508
regcar,1,1,0.7,0,6.0593618
regcar,1,2,1,0,4.4965252
