type1,fuel1,range1,speed1,pollution1
van,cng,250,95,0.6
regcar,methanol,125,85,0
regcar,cng,300,140,0.1
regcar,methanol,200,100,0
regcar,cng,75,85,0.1
truck,cng,300,85,0.6
regcar,methanol,125,100,0
regcar,methanol,125,85,0
sportuv,methanol,125,65,0
regcar,methanol,200,85,0
regcar,methanol,200,55,0
truck,methanol,125,85,0
sportcar,methanol,200,85,0
regcar,methanol,200,85,0
regcar,methanol,200,65,0
truck,methanol,75,100,0
regcar,methanol,75,65,0
regcar,methanol,200,85,0
van,methanol,125,100,0
regcar,methanol,200,100,0
regcar,methanol,125,65,0
sportuv,methanol,200,100,0
regcar,methanol,125,65,0
regcar,methanol,125,85,0
truck,methanol,125,65,0
regcar,methanol,125,100,0
regcar,methanol,125,55,0
truck,cng,300,110,0.25
regcar,methanol,200,65,0
truck,methanol,125,65,0
regcar,methanol,200,55,0
regcar,methanol,125,100,0
regcar,methanol,50,65,0
regcar,methanol,125,85,0
regcar,cng,250,85,0.4
sportuv,methanol,200,85,0
regcar,methanol,200,55,0
regcar,cng,75,85,0.1
regcar,cng,75,110,0.4
truck,methanol,125,85,0
regcar,methanol,200,65,0
truck,cng,75,110,0.4
regcar,cng,75,110,0.4
regcar,methanol,200,100,0
regcar,methanol,200,85,0
regcar,methanol,200,65,0
regcar,cng,300,110,0.25
regcar,cng,300,110,0.25
regcar,methanol,75,85,0
regcar,methanol,75,55,0
regcar,methanol,125,100,0
regcar,methanol,125,100,0
regcar,methanol,200,100,0
regcar,methanol,75,85,0
sportcar,cng,300,85,0.6
regcar,methanol,75,85,0
van,methanol,125,55,0
van,cng,300,140,0.1
regcar,methanol,125,85,0
van,methanol,200,65,0
regcar,methanol,125,65,0
regcar,methanol,125,55,0
truck,methanol,125,55,0
regcar,cng,75,85,0.1
truck,methanol,200,100,0
regcar,methanol,125,65,0
van,methanol,125,100,0
regcar,methanol,125,55,0
sportuv,methanol,125,65,0
regcar,methanol,200,85,0
regcar,methanol,200,55,0
regcar,methanol,200,100,0
sportuv,cng,75,110,0.4
truck,methanol,125,65,0
truck,cng,75,95,0.25
regcar,methanol,125,85,0
sportcar,methanol,125,100,0
regcar,methanol,200,55,0
van,methanol,125,85,0
regcar,methanol,200,55,0
regcar,methanol,125,85,0
truck,methanol,200,100,0
regcar,methanol,75,65,0
regcar,methanol,125,55,0
truck,cng,75,110,0.4
truck,cng,75,95,0.25
truck,methanol,75,100,0
regcar,methanol,125,85,0
van,cng,300,110,0.25
van,cng,75,85,0.1
van,cng,75,85,0.1
regcar,methanol,200,100,0
sportuv,methanol,75,85,0
regcar,methanol,200,55,0
truck,cng,300,85,0.6
regcar,methanol,200,65,0
regcar,methanol,125,65,0
regcar,cng,75,85,0.1
regcar,methanol,50,85,0
regcar,methanol,200,65,0
regcar,methanol,125,65,0
regcar,methanol,200,100,0
regcar,cng,75,95,0.25
regcar,methanol,125,100,0
regcar,methanol,200,85,0
regcar,methanol,200,65,0
regcar,methanol,200,65,0
regcar,methanol,125,65,0
regcar,cng,75,95,0.25
regcar,methanol,200,55,0
regcar,methanol,125,55,0
regcar,cng,300,110,0.25
truck,methanol,200,100,0
regcar,methanol,200,55,0
sportuv,cng,300,140,0.1
sportuv,cng,75,85,0.1
regcar,methanol,75,55,0
sportuv,methanol,200,65,0
sportuv,methanol,75,65,0
regcar,methanol,125,85,0
van,methanol,200,100,0
regcar,cng,75,140,0.6
regcar,methanol,200,65,0
regcar,methanol,75,100,0
regcar,cng,300,110,0.25
truck,methanol,200,100,0
regcar,methanol,125,85,0
regcar,methanol,200,55,0
regcar,methanol,125,85,0
regcar,cng,250,140,0.25
truck,cng,300,110,0.25
regcar,methanol,125,65,0
regcar,cng,75,85,0.1
regcar,cng,300,85,0.6
regcar,methanol,50,100,0
regcar,methanol,75,100,0
truck,cng,75,110,0.4
regcar,cng,150,85,0.25
truck,methanol,50,55,0
regcar,methanol,200,100,0
regcar,methanol,50,65,0
regcar,methanol,75,85,0
regcar,cng,150,95,0.1
regcar,methanol,50,85,0
regcar,methanol,75,100,0
stwagon,methanol,50,55,0
regcar,methanol,125,65,0
van,methanol,125,85,0
regcar,cng,300,85,0.6
sportuv,methanol,125,85,0
regcar,methanol,200,100,0
regcar,methanol,200,85,0
regcar,methanol,200,100,0
sportcar,cng,75,140,0.6
regcar,methanol,125,85,0
van,methanol,125,55,0
